Country,Confirmed,Deaths,Recovered,Active,WHO Region,Abbreviated WHO Region,Year,Month,Month Name,Day of Week,Day Name,Month Short Name
Afghanistan,0,0,0,0,Eastern Mediterranean,EMR,2020,1,January,2,Wednesday,Jan
Albania,0,0,0,0,Europe,EUR,2020,1,January,2,Wednesday,Jan
Algeria,0,0,0,0,Africa,AFR,2020,1,January,2,Wednesday,Jan
Andorra,0,0,0,0,Europe,EUR,2020,1,January,2,Wednesday,Jan
Angola,0,0,0,0,Africa,AFR,2020,1,January,2,Wednesday,Jan
Antigua,0,0,0,0,Americas,AMR,2020,1,January,2,Wednesday,Jan
Argentina,0,0,0,0,Americas,AMR,2020,1,January,2,Wednesday,Jan
Armenia,0,0,0,0,Europe,EUR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Australia,0,0,0,0,Western Pacific,WPR,2020,1,January,2,Wednesday,Jan
Austria,0,0,0,0,Europe,EUR,2020,1,January,2,Wednesday,Jan
Azerbaijan,0,0,0,0,Europe,EUR,2020,1,January,2,Wednesday,Jan
Bahamas,0,0,0,0,Americas,AMR,2020,1,January,2,Wednesday,Jan
Bahrain,0,0,0,0,Eastern Mediterranean,EMR,2020,1,January,2,Wednesday,Jan
Bangladesh,0,0,0,0,South-East Asia,SEAR,2020,1,January,2,Wednesday,Jan
Barbados,0,0,0,0,Americas,AMR,2020,1,January,2,Wednesday,Jan
